R:263435.0,P:236733.671875
R:120500.0,P:103123.6953125
R:171000.0,P:240995.75
R:181000.0,P:185259.15625
R:215000.0,P:230862.296875
R:112500.0,P:121912.1875
R:280000.0,P:287588.34375
R:372500.0,P:321584.21875
R:140000.0,P:135703.53125
R:91000.0,P:86642.0546875
R:147000.0,P:121708.4453125
R:125000.0,P:143200.703125
R:266000.0,P:330651.9375
R:145000.0,P:174923.96875
R:360000.0,P:347595.875
R:164500.0,P:144876.34375
R:148500.0,P:162538.453125
R:232000.0,P:239713.53125
R:131400.0,P:119772.4765625
R:155000.0,P:164991.96875
R:254900.0,P:219303.21875
R:172500.0,P:175441.671875
R:143000.0,P:129381.9609375
R:126175.0,P:95112.0859375
R:88000.0,P:131615.21875
R:125000.0,P:121142.6953125
R:174000.0,P:231062.390625
R:129500.0,P:112891.6484375
R:119900.0,P:106243.5703125
R:118500.0,P:96951.25
R:176000.0,P:171674.25
R:99500.0,P:128685.6953125
R:297000.0,P:299598.6875
R:118964.0,P:144565.46875
R:226700.0,P:210407.828125
R:138500.0,P:116709.7265625
R:142500.0,P:123065.3984375
R:139000.0,P:118660.9921875
R:171000.0,P:169282.703125
R:160000.0,P:159646.578125
R:132000.0,P:134343.703125
R:141000.0,P:112010.96875
R:201000.0,P:249331.375
R:75000.0,P:91606.3203125
R:124000.0,P:118197.4765625
R:127000.0,P:105314.84375
R:139000.0,P:132792.84375
R:100000.0,P:132872.4375
R:152000.0,P:124763.1328125
R:134900.0,P:158855.40625
R:131500.0,P:127764.2265625
R:350000.0,P:288423.53125
R:378500.0,P:353118.59375
R:185500.0,P:207982.65625
R:230000.0,P:213787.34375
R:189000.0,P:206796.875
R:200000.0,P:225887.34375
R:207000.0,P:179099.390625
R:185850.0,P:208114.5
R:144000.0,P:152967.65625
R:210000.0,P:209887.5625
R:129900.0,P:181579.390625
R:215200.0,P:195126.34375
R:145000.0,P:152557.015625
R:253000.0,P:222635.5
R:62383.0,P:102509.4765625
R:124000.0,P:150517.46875
R:233230.0,P:237466.984375
R:135000.0,P:159282.9375
R:206900.0,P:188041.796875
R:194201.0,P:256151.390625
R:110000.0,P:92806.6484375
R:142500.0,P:172976.609375
R:109900.0,P:121636.4375
R:135000.0,P:127842.8515625
R:240000.0,P:250959.09375
R:155900.0,P:160315.625
R:125500.0,P:126115.6015625
R:201000.0,P:189926.71875
R:64500.0,P:95541.2265625
R:240000.0,P:237527.59375
R:118858.0,P:144553.453125
R:139950.0,P:134844.28125
R:123000.0,P:104326.5546875
R:316600.0,P:253288.25
R:117500.0,P:106180.8046875
R:117500.0,P:162061.859375
R:91500.0,P:119319.7265625
R:204900.0,P:212714.546875
R:239000.0,P:247046.78125
R:89000.0,P:78875.5390625
R:625000.0,P:427988.90625
R:141000.0,P:95790.703125
R:134000.0,P:121218.8515625
R:83000.0,P:87044.1484375
R:274900.0,P:323524.0
R:109000.0,P:99688.453125
R:102000.0,P:111241.1953125
R:305000.0,P:276046.625
R:325000.0,P:310515.03125
R:135000.0,P:111272.203125
R:130000.0,P:131915.5625
R:191000.0,P:205033.1875
R:200100.0,P:162128.625
R:367294.0,P:350804.78125
R:221000.0,P:216903.796875
R:225000.0,P:231326.625
R:258000.0,P:260234.53125
R:184750.0,P:512613.84375
R:156000.0,P:156514.09375
R:139000.0,P:132375.09375
R:212000.0,P:228346.65625
R:127500.0,P:132318.3125
R:119000.0,P:85766.4921875
R:117000.0,P:126651.09375
R:208500.0,P:210084.5
R:210000.0,P:159190.15625
R:146500.0,P:141526.953125
R:172785.0,P:177637.53125
R:60000.0,P:123918.6484375
R:138887.0,P:125739.21875
R:225000.0,P:184795.5625
R:135000.0,P:142958.875
R:133000.0,P:111995.9921875
R:285000.0,P:304449.21875
R:60000.0,P:15824.9794921875
R:125500.0,P:106234.90625
R:286000.0,P:295611.625
R:148000.0,P:140152.484375
R:131500.0,P:144657.25
R:215000.0,P:174369.25
R:159500.0,P:223313.40625
R:176000.0,P:192141.9375
R:257000.0,P:255722.640625
R:79000.0,P:109873.8984375
R:190000.0,P:208308.84375
R:147500.0,P:130833.8203125
R:242000.0,P:264392.5625
R:260000.0,P:260310.546875
R:501837.0,P:381061.15625
R:119000.0,P:110397.171875
R:83000.0,P:128522.921875
R:113000.0,P:121600.390625
R:239500.0,P:237873.25
R:370878.0,P:343189.84375
R:180000.0,P:190779.6875
R:118000.0,P:137302.890625
R:264561.0,P:274197.03125
R:119000.0,P:134608.125
R:219500.0,P:174013.015625
R:179900.0,P:164758.1875
R:277500.0,P:316415.8125
R:230500.0,P:243214.90625
R:220000.0,P:220472.15625
R:236000.0,P:220646.78125
R:106000.0,P:122026.3828125
R:269790.0,P:220867.3125
R:403000.0,P:327164.40625
R:137500.0,P:89136.1484375
R:105000.0,P:123050.1171875
R:176000.0,P:132712.640625
R:82500.0,P:192843.375
R:98600.0,P:141492.21875
R:129000.0,P:116147.7578125
R:149900.0,P:122727.5078125
R:192000.0,P:213716.15625
R:110500.0,P:148731.796875
R:100000.0,P:136787.3125
R:248328.0,P:238854.6875
R:180000.0,P:176867.125
R:140000.0,P:160738.8125
R:110000.0,P:120462.4921875
R:166000.0,P:134802.109375
R:124900.0,P:162245.53125
R:187500.0,P:230712.875
R:318000.0,P:327016.09375
R:135000.0,P:131986.015625
R:275000.0,P:268068.96875
R:68500.0,P:56818.91796875
R:137000.0,P:163644.5
R:127500.0,P:117189.09375
R:128000.0,P:120441.5390625
R:274725.0,P:255330.15625
R:251000.0,P:260590.71875
R:242000.0,P:216038.96875
R:140000.0,P:142120.5
R:155000.0,P:123640.3671875
R:369900.0,P:313051.34375
R:202900.0,P:232629.5
R:153900.0,P:144941.78125
R:146000.0,P:146461.5
R:170000.0,P:181840.5
R:208300.0,P:180906.671875
R:89500.0,P:131421.9375
R:230000.0,P:249442.03125
R:129900.0,P:96406.1875
R:214000.0,P:216896.84375
R:107400.0,P:92085.9765625
R:95000.0,P:100712.0546875
R:91000.0,P:107048.203125
R:280000.0,P:245103.015625
R:79900.0,P:86451.8984375
R:208900.0,P:188388.96875
R:187000.0,P:189201.578125
R:410000.0,P:330104.96875
R:320000.0,P:352557.875
R:213000.0,P:211984.3125
R:126000.0,P:150315.53125
R:287090.0,P:280292.46875
R:137000.0,P:125119.125
R:124500.0,P:162982.390625
R:194000.0,P:197043.9375
R:164000.0,P:222293.125
R:164000.0,P:207160.796875
R:446261.0,P:375635.125
R:163500.0,P:129297.5859375
R:165500.0,P:164913.390625
R:98300.0,P:109952.078125
R:149500.0,P:169217.625
R:372402.0,P:301829.65625
R:188000.0,P:199648.59375
R:395000.0,P:277677.375
R:259500.0,P:190408.015625
R:137450.0,P:154464.71875
R:152000.0,P:152840.5
R:110000.0,P:98141.6015625
R:395192.0,P:358573.46875
R:125000.0,P:113980.78125
R:279500.0,P:232909.4375
R:161000.0,P:175922.375
R:100000.0,P:123799.3046875
R:140000.0,P:125201.609375
R:385000.0,P:309494.96875
R:112000.0,P:120711.8359375
R:178000.0,P:245823.59375
R:175000.0,P:152012.375
R:200000.0,P:206896.53125
R:159895.0,P:198806.0625
R:140000.0,P:153003.40625
R:140000.0,P:174258.34375
R:274300.0,P:218728.5625
R:186500.0,P:192890.1875
R:176432.0,P:183823.171875
R:197000.0,P:201958.34375
R:284000.0,P:274105.8125
R:181000.0,P:178603.8125
R:139000.0,P:125492.2109375
R:85000.0,P:117405.1796875
R:142000.0,P:114322.8203125
R:229456.0,P:220699.0625
R:290000.0,P:280812.59375
R:153575.0,P:141841.59375
R:113000.0,P:135017.15625
R:150000.0,P:163169.515625
R:257500.0,P:199680.859375
R:306000.0,P:296284.28125
R:155000.0,P:171878.875
R:143000.0,P:162573.9375
R:189000.0,P:189730.953125
R:233000.0,P:223868.125
R:212900.0,P:233771.078125
R:110000.0,P:148795.75
R:113000.0,P:103268.8359375
R:116000.0,P:125127.8828125
R:281213.0,P:280111.6875
R:179500.0,P:160445.28125
R:227000.0,P:221292.625
R:163990.0,P:177471.78125
R:333168.0,P:302745.03125
R:126500.0,P:128478.3359375
R:232000.0,P:249697.296875
R:134432.0,P:119469.1640625
R:169000.0,P:188053.28125
R:175000.0,P:185903.46875
R:145000.0,P:178507.0625
R:180500.0,P:196590.65625
R:133900.0,P:200528.421875
R:171900.0,P:186943.46875
R:98000.0,P:95454.3984375
R:118500.0,P:109170.7578125
R:173000.0,P:186926.8125
R:318061.0,P:337603.5
R:305900.0,P:277339.34375
R:135000.0,P:173398.515625
R:140000.0,P:162813.9375
R:135000.0,P:111723.8046875
R:269500.0,P:314551.15625
R:186700.0,P:179202.25
R:325000.0,P:323816.125
R:402000.0,P:293084.25
R:157900.0,P:154140.171875
R:66500.0,P:102618.515625
R:133700.0,P:109740.6875
R:195000.0,P:205843.09375
R:239000.0,P:207863.5
R:109500.0,P:111056.9921875
R:205000.0,P:208666.34375
R:189000.0,P:205856.5625
R:244000.0,P:255121.84375
R:221500.0,P:238349.40625
R:192000.0,P:209903.0
R:174900.0,P:155763.6875
R:119200.0,P:129976.2265625
R:315500.0,P:333484.09375
R:230000.0,P:252891.84375
R:224900.0,P:220605.84375
R:380000.0,P:359033.09375
R:140200.0,P:142558.71875
R:157500.0,P:145698.453125
R:196500.0,P:207902.796875
R:110000.0,P:123736.8359375
R:97000.0,P:90754.1796875
R:180000.0,P:172920.09375
R:100000.0,P:78483.0390625
R:122000.0,P:172479.40625
R:106000.0,P:138970.375
R:745000.0,P:472496.21875
R:155000.0,P:151467.5
R:116050.0,P:87259.3984375
R:224500.0,P:238797.671875
R:163000.0,P:155087.78125
R:150900.0,P:189047.34375
R:134500.0,P:107733.8359375
R:123000.0,P:122164.921875
R:555000.0,P:404107.59375
R:239000.0,P:326186.65625
R:177000.0,P:147917.03125
R:140000.0,P:131851.796875
R:183500.0,P:207387.546875
R:244000.0,P:258033.90625
R:203000.0,P:200392.484375
R:140000.0,P:178150.09375
R:170000.0,P:172419.125
R:101000.0,P:109529.75
R:175500.0,P:183327.25
R:282922.0,P:244982.671875
R:192000.0,P:205327.125
R:220000.0,P:228475.5625
R:144000.0,P:130883.9296875
R:202665.0,P:205862.46875
R:133000.0,P:125042.7109375
R:181134.0,P:202866.46875
R:129900.0,P:133283.734375
R:157000.0,P:183227.90625
R:162900.0,P:187208.84375
R:301500.0,P:263054.34375
R:107500.0,P:156841.78125
R:159000.0,P:162861.21875
R:141500.0,P:140026.3125
R:227000.0,P:216818.5
R:82000.0,P:73449.9765625
R:249700.0,P:253522.0
R:128200.0,P:108635.28125
R:270000.0,P:255070.5
R:190000.0,P:210921.890625
R:194000.0,P:213126.484375
R:213000.0,P:220691.3125
R:124000.0,P:159458.8125
R:143900.0,P:142224.0
R:183000.0,P:203779.453125
R:131500.0,P:159932.375
R:219500.0,P:215208.921875
R:118000.0,P:111403.90625
R:187500.0,P:210071.21875
R:218000.0,P:169867.53125
R:163000.0,P:183905.75
R:174000.0,P:220168.5
R:270000.0,P:253661.5625
R:139400.0,P:136858.28125
R:163000.0,P:171598.15625
R:239000.0,P:219127.546875
R:78000.0,P:100504.21875
R:213500.0,P:217724.21875
R:120500.0,P:103367.1328125
R:145000.0,P:125684.5546875
R:125000.0,P:128899.8515625
R:119000.0,P:109511.0390625
R:337500.0,P:358063.8125
R:135000.0,P:150316.046875
R:262500.0,P:234213.375
R:215000.0,P:228119.484375
R:189000.0,P:193799.015625
R:424870.0,P:337968.65625
R:129000.0,P:120996.296875
R:128000.0,P:92657.03125
R:135000.0,P:177015.59375
R:151400.0,P:206946.53125
R:193500.0,P:197036.25
R:326000.0,P:323385.96875
R:172500.0,P:234725.46875
R:359100.0,P:275716.28125
R:252678.0,P:210338.78125
R:125000.0,P:127938.8984375
R:192500.0,P:212703.46875
R:325300.0,P:315362.1875
R:167000.0,P:162922.84375
R:124900.0,P:100993.7734375
R:230000.0,P:236298.203125
R:140000.0,P:151909.5
R:423000.0,P:340737.1875
R:160000.0,P:188355.9375
R:157000.0,P:200293.546875
R:314813.0,P:323916.90625
R:132000.0,P:124250.34375
R:149900.0,P:152992.875
R:255000.0,P:243099.375
R:167000.0,P:176944.796875
R:179900.0,P:248820.34375
R:178000.0,P:188682.78125
R:120000.0,P:123489.0859375
R:128000.0,P:139653.421875
R:179900.0,P:163355.328125
R:148000.0,P:159307.6875
R:175000.0,P:183293.703125
R:239686.0,P:271952.375
R:152000.0,P:155926.03125
R:160000.0,P:117226.8671875
R:394617.0,P:340732.21875
R:155000.0,P:213298.4375
R:141000.0,P:130899.6328125
R:149700.0,P:161269.46875
R:100000.0,P:106007.9765625
R:109000.0,P:124197.2109375
R:115000.0,P:105400.4296875
R:105000.0,P:99731.484375
R:231500.0,P:214746.1875
R:171000.0,P:172641.015625
R:156932.0,P:169349.796875
R:108000.0,P:101030.2109375
R:197000.0,P:192227.34375
R:256000.0,P:220674.703125
R:262280.0,P:232579.484375
R:260400.0,P:226720.25
R:210000.0,P:211198.484375
R:303477.0,P:292444.96875
R:58500.0,P:57676.77734375
R:167240.0,P:197906.609375
R:128000.0,P:111076.7421875
R:118400.0,P:118099.5234375
R:110000.0,P:110390.9921875
R:136500.0,P:166384.15625
R:130000.0,P:130792.25
R:271900.0,P:265823.125
R:130000.0,P:193588.0625
R:142500.0,P:150552.78125
R:119500.0,P:109885.1484375
R:174000.0,P:202922.40625
R:179665.0,P:195763.40625
R:213250.0,P:254343.328125
R:148000.0,P:131754.546875
R:179400.0,P:196268.4375
R:224900.0,P:214001.0
R:248900.0,P:258978.84375
R:320000.0,P:255793.1875
R:317000.0,P:317620.40625
R:112000.0,P:125670.7734375
R:402861.0,P:377110.09375
R:112000.0,P:103838.5234375
R:290000.0,P:273924.78125
R:250000.0,P:245037.796875
R:213000.0,P:207854.25
R:123000.0,P:134440.0625
R:125000.0,P:104705.2421875
R:118000.0,P:106562.4609375
R:119500.0,P:123475.4375
R:319900.0,P:330812.03125
R:325000.0,P:296259.34375
R:153500.0,P:159589.8125
R:324000.0,P:236468.140625
R:129000.0,P:115024.859375
R:176000.0,P:171214.578125
R:239900.0,P:244485.71875
R:189000.0,P:194997.4375
R:169000.0,P:177963.71875
R:230000.0,P:218763.4375
R:119000.0,P:131744.734375
R:202500.0,P:208358.78125
R:139000.0,P:122204.3828125
R:125000.0,P:142710.5
R:128000.0,P:155832.375
R:171500.0,P:163238.140625
R:165400.0,P:204743.65625
R:135000.0,P:109148.8203125
R:139500.0,P:136373.921875
R:167500.0,P:149223.125
R:102776.0,P:84807.8984375
R:190000.0,P:192462.625
R:168500.0,P:166606.53125
R:178000.0,P:179216.359375
R:88000.0,P:99145.25
R:335000.0,P:255034.34375
R:235000.0,P:276143.21875
R:311872.0,P:306265.84375
R:179900.0,P:150499.796875
R:127500.0,P:176099.609375
R:104900.0,P:106397.5078125
R:239000.0,P:250310.46875
R:133500.0,P:105298.0078125
R:206000.0,P:195204.375
R:120000.0,P:85194.5078125
R:319000.0,P:267685.9375
R:206300.0,P:227197.34375
R:180000.0,P:206235.59375
R:325624.0,P:340133.0625
R:200000.0,P:233478.859375
R:175900.0,P:179613.359375
R:130000.0,P:210186.109375
R:173000.0,P:204731.515625
R:192140.0,P:176210.3125
R:276000.0,P:353473.15625
R:187100.0,P:206094.53125
R:174500.0,P:154950.65625
R:147000.0,P:153286.140625
R:198500.0,P:213459.34375
R:187750.0,P:200913.578125
R:176500.0,P:196701.59375
R:129900.0,P:115419.3203125
R:152000.0,P:161948.53125
R:241500.0,P:222413.875
R:185000.0,P:171595.21875
R:325000.0,P:324189.59375
R:160000.0,P:149568.78125
R:260000.0,P:269233.65625
R:107500.0,P:101936.0703125
R:175500.0,P:204448.25
R:115000.0,P:104844.3984375
R:124000.0,P:175462.109375
R:184000.0,P:196706.375
R:140000.0,P:172167.4375
R:243000.0,P:208385.828125
R:224000.0,P:207537.1875
R:96500.0,P:88788.1875
R:129500.0,P:172273.5
R:147000.0,P:138849.625
R:192500.0,P:213369.140625
R:179900.0,P:196819.375
R:246578.0,P:226844.84375
R:179200.0,P:194274.0
R:232600.0,P:228230.59375
R:181500.0,P:162738.09375
R:197900.0,P:202604.984375
R:278000.0,P:261622.796875
R:178000.0,P:189351.53125
R:582933.0,P:388157.34375
R:137500.0,P:133834.46875
R:113000.0,P:67417.2578125
R:130000.0,P:117062.0546875
R:310000.0,P:354630.6875
R:176485.0,P:200679.203125
R:149000.0,P:166805.265625
R:85000.0,P:111601.9609375
R:202500.0,P:205862.46875
R:142600.0,P:168261.625
R:274000.0,P:300188.84375
R:170000.0,P:145940.046875
R:105000.0,P:105061.5234375
R:268000.0,P:255771.9375
R:267000.0,P:255916.09375
R:151000.0,P:184100.0625
R:176000.0,P:187768.5625
R:250580.0,P:240731.375
R:374000.0,P:351243.9375
R:159500.0,P:161714.8125
R:164000.0,P:161389.03125
R:128500.0,P:105237.8984375
R:205000.0,P:231339.90625
R:328000.0,P:270520.28125
R:119000.0,P:101812.0234375
R:200500.0,P:181916.828125
R:145000.0,P:125444.9140625
R:167000.0,P:175949.09375
R:176000.0,P:197678.125
R:125500.0,P:101273.1640625
R:154300.0,P:180461.265625
R:188700.0,P:154267.046875
R:207000.0,P:205583.3125
R:155000.0,P:191086.8125
R:135500.0,P:109866.578125
R:55993.0,P:124484.1171875
R:128900.0,P:109805.3359375
R:165000.0,P:153216.328125
R:147000.0,P:133142.46875
R:91300.0,P:102195.8046875
R:131000.0,P:146385.28125
R:142125.0,P:121952.671875
R:160000.0,P:580904.25
R:221000.0,P:211946.59375
R:119500.0,P:130224.390625
R:135000.0,P:142324.171875
R:93000.0,P:107027.9921875
R:185000.0,P:194947.890625
R:127500.0,P:153003.40625
R:80000.0,P:74741.96875
R:90350.0,P:94611.7890625
R:157000.0,P:147326.71875
R:485000.0,P:413470.03125
R:165500.0,P:160827.296875
R:150500.0,P:142347.15625
R:166000.0,P:169734.015625
R:101800.0,P:107011.6484375
R:132000.0,P:136663.6875
R:341000.0,P:267385.84375
R:132250.0,P:110912.9765625
R:180000.0,P:214924.28125
R:119750.0,P:99825.1015625
R:115000.0,P:91695.4453125
R:178000.0,P:210615.609375
R:106500.0,P:82106.5703125
R:137500.0,P:210186.109375
R:134450.0,P:131081.46875
R:87000.0,P:144288.40625
R:141000.0,P:116228.3515625
R:123500.0,P:146986.9375
R:125000.0,P:106108.53125
R:130500.0,P:119866.9375
R:178900.0,P:179898.5
R:170000.0,P:204058.8125
R:177000.0,P:169065.625
R:165150.0,P:178805.296875
R:143000.0,P:118890.2421875
R:235000.0,P:192821.875
R:136000.0,P:132029.625
R:110000.0,P:182304.46875
R:119900.0,P:119648.3046875
R:132000.0,P:127703.2421875
R:140000.0,P:134591.421875
R:142000.0,P:130717.390625
R:135500.0,P:117547.0390625
R:451950.0,P:384149.875
R:235128.0,P:253255.84375
R:165000.0,P:166637.046875
R:205000.0,P:213390.40625
R:105000.0,P:101342.4140625
R:241500.0,P:191962.09375
R:147000.0,P:156917.140625
R:197000.0,P:240143.1875
R:215000.0,P:216868.953125
R:124500.0,P:112274.34375
R:173900.0,P:175122.46875
R:155835.0,P:194815.359375
R:207500.0,P:205033.3125
R:250000.0,P:269161.25
R:121600.0,P:91681.4140625
R:385000.0,P:391722.78125
R:107900.0,P:96654.0703125
R:170000.0,P:174148.25
R:190000.0,P:215249.21875
R:148000.0,P:142188.90625
R:155000.0,P:155917.59375
R:115000.0,P:161616.34375
R:150000.0,P:138161.5625
R:155000.0,P:180686.71875
R:153500.0,P:133634.6875
R:165000.0,P:145256.546875
R:73000.0,P:118192.4140625
R:120000.0,P:126838.3828125
R:114500.0,P:138513.375
R:130500.0,P:119758.0625
R:158500.0,P:144525.015625
R:175000.0,P:156034.265625
R:148000.0,P:139083.6875
R:315000.0,P:353917.125
R:289000.0,P:212249.625
R:270000.0,P:250973.796875
R:237000.0,P:217672.875
R:103600.0,P:127465.8671875
R:110000.0,P:124862.2109375
R:159000.0,P:147946.21875
R:139400.0,P:123087.2265625
R:160000.0,P:179394.75
R:235000.0,P:245981.8125
R:348000.0,P:283430.34375
R:185000.0,P:182828.0625
R:293077.0,P:259885.78125
R:144000.0,P:122898.6875
R:116000.0,P:131942.71875
R:193000.0,P:197291.15625
R:76000.0,P:121728.3828125
R:147000.0,P:305691.09375
R:130000.0,P:122127.4921875
R:81000.0,P:99378.1796875
R:154000.0,P:204731.515625
R:155000.0,P:135249.078125
R:175500.0,P:177647.9375
R:107000.0,P:90771.1640625
R:239799.0,P:243988.53125
R:134000.0,P:155219.71875
R:153000.0,P:134478.4375
R:236500.0,P:232367.53125
R:132500.0,P:126798.7109375
R:167900.0,P:174559.0
R:266000.0,P:254420.375
R:170000.0,P:127572.4921875
R:149900.0,P:124257.5234375
R:145500.0,P:131477.40625
R:191000.0,P:240282.46875
R:155000.0,P:150125.625
R:245350.0,P:257861.953125
R:103000.0,P:104878.453125
R:88000.0,P:90094.7578125
R:375000.0,P:220939.125
R:90000.0,P:112526.6015625
R:339750.0,P:323559.90625
R:114500.0,P:102434.8125
R:120000.0,P:110090.9453125
R:386250.0,P:409095.15625
R:92900.0,P:76157.4453125
R:256300.0,P:262423.34375
R:151000.0,P:177657.671875
R:126000.0,P:121510.265625
R:194500.0,P:198346.40625
R:142000.0,P:165031.75
R:118500.0,P:133089.109375
R:265900.0,P:255351.625
R:158000.0,P:153745.34375
R:183900.0,P:196760.0
R:142953.0,P:167848.5625
R:97500.0,P:137726.53125
R:215000.0,P:215467.25
R:152000.0,P:140376.0
R:280000.0,P:299965.75
R:214900.0,P:213852.78125
R:87000.0,P:106308.8984375
R:134800.0,P:128545.0859375
R:185900.0,P:201226.984375
R:134000.0,P:138275.6875
R:195000.0,P:216422.609375
R:184000.0,P:168667.703125
R:84900.0,P:87617.2890625
R:172500.0,P:250534.0
R:91000.0,P:69775.2578125
R:211000.0,P:208177.78125
R:140000.0,P:132580.875
R:136900.0,P:163567.9375
R:109008.0,P:84647.6328125
R:217500.0,P:174469.90625
R:220000.0,P:217699.546875
R:144152.0,P:183643.625
R:271000.0,P:236677.71875
R:117000.0,P:109872.6328125
