R:263435.0,P:254860.4375
R:213000.0,P:210259.875
R:126000.0,P:130682.890625
R:287090.0,P:290158.34375
R:137000.0,P:137925.078125
R:124500.0,P:129261.0703125
R:194000.0,P:200117.890625
R:164000.0,P:178414.65625
R:164000.0,P:166153.6875
R:446261.0,P:435706.21875
R:163500.0,P:152617.78125
R:165500.0,P:173484.546875
R:98300.0,P:96346.2890625
R:149500.0,P:164462.0
R:372402.0,P:321291.71875
R:188000.0,P:194706.65625
R:395000.0,P:388778.125
R:259500.0,P:258031.59375
R:137450.0,P:145929.53125
R:152000.0,P:159638.53125
R:110000.0,P:116213.7109375
R:395192.0,P:395526.28125
R:125000.0,P:134694.390625
R:279500.0,P:262925.78125
R:161000.0,P:162413.53125
R:100000.0,P:100989.9609375
R:140000.0,P:136928.640625
R:385000.0,P:387018.78125
R:112000.0,P:119187.625
R:178000.0,P:176005.96875
R:175000.0,P:170449.375
R:200000.0,P:200804.390625
R:159895.0,P:178783.09375
R:140000.0,P:139643.0625
R:140000.0,P:150577.25
R:274300.0,P:240514.046875
R:186500.0,P:191166.890625
R:176432.0,P:174545.90625
R:197000.0,P:190943.78125
R:284000.0,P:287241.4375
R:181000.0,P:192928.09375
R:139000.0,P:147380.625
R:85000.0,P:86992.390625
R:142000.0,P:143331.359375
R:229456.0,P:224545.71875
R:290000.0,P:289599.75
R:153575.0,P:149331.546875
R:113000.0,P:115831.2109375
R:150000.0,P:152063.8125
R:257500.0,P:259177.0
R:306000.0,P:292405.5
R:155000.0,P:161305.59375
R:143000.0,P:137613.53125
R:189000.0,P:194060.875
R:233000.0,P:251685.96875
R:212900.0,P:214751.90625
R:110000.0,P:116152.6640625
R:113000.0,P:103579.765625
R:116000.0,P:122726.8046875
R:281213.0,P:280472.59375
R:179500.0,P:181149.203125
R:227000.0,P:223478.40625
R:163990.0,P:168022.3125
R:333168.0,P:320372.0
R:126500.0,P:135483.640625
R:232000.0,P:242184.6875
R:134432.0,P:139998.1875
R:169000.0,P:171324.578125
R:175000.0,P:173547.453125
R:145000.0,P:147541.65625
R:180500.0,P:202034.1875
R:133900.0,P:145379.234375
R:171900.0,P:178277.015625
R:98000.0,P:98322.0703125
R:118500.0,P:124639.9921875
R:173000.0,P:167451.671875
R:318061.0,P:340323.1875
R:305900.0,P:319743.1875
R:135000.0,P:135102.71875
R:140000.0,P:164634.75
R:135000.0,P:136607.546875
R:269500.0,P:292789.8125
R:186700.0,P:184577.09375
R:325000.0,P:315650.53125
R:402000.0,P:398843.875
R:157900.0,P:161252.1875
R:66500.0,P:89365.4765625
R:133700.0,P:134002.5
R:195000.0,P:189450.5
R:239000.0,P:238715.171875
R:109500.0,P:108866.4921875
R:205000.0,P:202559.109375
R:189000.0,P:196706.5
R:244000.0,P:242813.3125
R:221500.0,P:231168.96875
R:192000.0,P:204645.5
R:174900.0,P:158209.5625
R:119200.0,P:129957.65625
R:315500.0,P:326840.28125
R:230000.0,P:250133.65625
R:224900.0,P:226871.734375
R:380000.0,P:382159.5
R:140200.0,P:126502.859375
R:157500.0,P:157443.59375
R:196500.0,P:204581.6875
R:110000.0,P:125459.546875
R:97000.0,P:98554.7578125
R:180000.0,P:181729.34375
R:100000.0,P:101518.8671875
R:122000.0,P:128634.8046875
R:106000.0,P:104233.15625
R:745000.0,P:749600.1875
R:155000.0,P:159013.796875
R:116050.0,P:123713.9453125
R:224500.0,P:226547.53125
R:163000.0,P:165983.75
R:150900.0,P:171381.65625
R:134500.0,P:130334.65625
R:123000.0,P:131950.609375
R:555000.0,P:561522.0
R:239000.0,P:244200.5
R:177000.0,P:174959.140625
R:140000.0,P:147114.125
R:183500.0,P:184499.3125
R:244000.0,P:253727.078125
R:203000.0,P:197473.4375
R:140000.0,P:156600.578125
R:170000.0,P:175868.90625
R:101000.0,P:104259.0234375
R:175500.0,P:185036.921875
R:282922.0,P:253356.171875
R:192000.0,P:193238.078125
R:220000.0,P:225171.0625
R:144000.0,P:145963.390625
R:202665.0,P:200723.21875
R:133000.0,P:125135.1640625
R:181134.0,P:176970.421875
R:129900.0,P:131026.2578125
R:157000.0,P:158588.578125
R:162900.0,P:179300.578125
R:301500.0,P:298770.125
R:107500.0,P:107037.015625
R:159000.0,P:169375.546875
R:141500.0,P:144642.8125
R:227000.0,P:214260.625
R:82000.0,P:82658.9921875
R:249700.0,P:249500.96875
R:128200.0,P:124912.0078125
R:270000.0,P:269513.5625
R:190000.0,P:197420.109375
R:194000.0,P:204804.734375
R:213000.0,P:205626.1875
R:124000.0,P:127950.9921875
R:143900.0,P:145112.71875
R:183000.0,P:190181.375
R:131500.0,P:141995.3125
R:219500.0,P:209654.8125
R:118000.0,P:128319.1328125
R:187500.0,P:184286.28125
R:218000.0,P:210658.3125
R:163000.0,P:177729.9375
R:174000.0,P:166772.75
R:270000.0,P:280722.0
R:139400.0,P:137269.78125
R:163000.0,P:164074.734375
R:239000.0,P:247451.125
R:78000.0,P:86979.21875
R:213500.0,P:214070.15625
R:120500.0,P:122687.625
R:145000.0,P:136841.765625
R:125000.0,P:132011.90625
R:119000.0,P:119873.7109375
R:337500.0,P:339794.4375
R:135000.0,P:136184.90625
R:262500.0,P:254922.828125
R:215000.0,P:218145.0625
R:189000.0,P:197092.90625
R:424870.0,P:428598.9375
R:129000.0,P:128473.546875
R:128000.0,P:100755.5078125
R:135000.0,P:150721.890625
R:151400.0,P:161299.0
R:193500.0,P:203215.0
R:326000.0,P:344658.71875
R:172500.0,P:187302.90625
R:359100.0,P:363145.375
R:252678.0,P:252328.703125
R:125000.0,P:125573.96875
R:192500.0,P:191929.78125
R:325300.0,P:329660.375
R:167000.0,P:171092.1875
R:124900.0,P:123344.890625
R:230000.0,P:234611.5625
R:140000.0,P:136538.375
R:423000.0,P:428712.9375
R:160000.0,P:165762.609375
R:157000.0,P:169926.453125
R:314813.0,P:301482.125
R:132000.0,P:125496.3828125
R:149900.0,P:150031.859375
R:255000.0,P:262602.6875
R:167000.0,P:171353.859375
R:179900.0,P:191834.03125
R:178000.0,P:184354.4375
R:120000.0,P:111889.71875
R:128000.0,P:140012.296875
R:179900.0,P:178457.75
R:148000.0,P:144055.03125
R:175000.0,P:179337.296875
R:239686.0,P:251433.890625
R:152000.0,P:156613.25
R:160000.0,P:154002.9375
R:394617.0,P:396950.3125
R:155000.0,P:159629.84375
R:141000.0,P:136178.34375
R:149700.0,P:155695.828125
R:100000.0,P:115306.8984375
R:109000.0,P:117753.6796875
R:115000.0,P:107248.53125
R:105000.0,P:108788.765625
R:231500.0,P:221125.359375
R:171000.0,P:154530.5625
R:156932.0,P:157355.078125
R:108000.0,P:125491.2578125
R:197000.0,P:196303.90625
R:256000.0,P:252031.25
R:262280.0,P:254402.5
R:260400.0,P:255091.03125
R:210000.0,P:206512.8125
R:303477.0,P:306287.96875
R:58500.0,P:65947.1171875
R:167240.0,P:183557.046875
R:128000.0,P:133699.65625
R:118400.0,P:108491.6171875
R:110000.0,P:111125.2109375
R:136500.0,P:141517.78125
R:130000.0,P:134648.15625
R:271900.0,P:279342.375
R:130000.0,P:150809.8125
R:142500.0,P:150460.28125
R:119500.0,P:121601.2265625
R:174000.0,P:169013.234375
R:179665.0,P:170468.15625
R:213250.0,P:212702.375
R:148000.0,P:150604.25
R:179400.0,P:178122.21875
R:224900.0,P:227065.71875
R:248900.0,P:258647.96875
R:320000.0,P:315323.90625
R:317000.0,P:342979.09375
R:112000.0,P:122066.1640625
R:402861.0,P:409736.4375
R:112000.0,P:115412.5390625
R:290000.0,P:279994.875
R:250000.0,P:252220.703125
R:213000.0,P:202239.390625
R:123000.0,P:126777.8984375
R:125000.0,P:109599.0859375
R:118000.0,P:120918.1171875
R:119500.0,P:121065.78125
R:319900.0,P:310524.375
R:325000.0,P:325137.375
R:153500.0,P:157085.765625
R:324000.0,P:304226.125
R:129000.0,P:129809.3671875
R:176000.0,P:184974.8125
R:239900.0,P:226182.46875
R:189000.0,P:168210.328125
R:169000.0,P:189515.53125
R:230000.0,P:235086.1875
R:119000.0,P:124755.6171875
R:202500.0,P:193294.34375
R:139000.0,P:144118.9375
R:125000.0,P:133931.234375
R:128000.0,P:136014.59375
R:171500.0,P:174300.78125
R:165400.0,P:168979.53125
R:135000.0,P:127767.3671875
R:139500.0,P:128303.8828125
R:167500.0,P:169117.375
R:102776.0,P:89398.7578125
R:190000.0,P:185619.3125
R:168500.0,P:175675.0
R:178000.0,P:171057.609375
R:88000.0,P:97827.1484375
R:335000.0,P:331124.78125
R:235000.0,P:242505.296875
R:311872.0,P:317524.1875
R:179900.0,P:182900.640625
R:127500.0,P:155194.78125
R:104900.0,P:115115.3203125
R:239000.0,P:250924.265625
R:133500.0,P:126267.9140625
R:206000.0,P:199338.4375
R:120000.0,P:119591.8984375
R:319000.0,P:309105.53125
R:206300.0,P:207162.4375
R:180000.0,P:198644.625
R:325624.0,P:323205.09375
R:200000.0,P:199001.96875
R:175900.0,P:183581.234375
R:130000.0,P:151747.625
R:173000.0,P:174229.125
R:192140.0,P:187122.953125
R:276000.0,P:303275.46875
R:187100.0,P:193972.5
R:174500.0,P:162260.09375
R:147000.0,P:149217.140625
R:198500.0,P:200405.21875
R:187750.0,P:196342.59375
R:176500.0,P:185393.1875
R:129900.0,P:133781.25
R:152000.0,P:157793.53125
R:241500.0,P:236386.421875
R:185000.0,P:170985.125
R:325000.0,P:329600.03125
R:160000.0,P:152186.375
R:260000.0,P:286292.0625
R:107500.0,P:104729.5546875
R:175500.0,P:174734.515625
R:115000.0,P:113845.5625
R:124000.0,P:122709.109375
R:184000.0,P:188823.609375
R:140000.0,P:139567.96875
R:243000.0,P:245241.15625
R:224000.0,P:208369.34375
R:96500.0,P:97978.6953125
R:129500.0,P:137267.25
R:147000.0,P:147062.078125
R:192500.0,P:195508.71875
R:179900.0,P:176447.5625
R:246578.0,P:220948.65625
R:179200.0,P:182425.578125
R:232600.0,P:247163.90625
R:181500.0,P:173125.65625
R:197900.0,P:218178.5625
R:278000.0,P:266606.875
R:178000.0,P:179089.71875
R:582933.0,P:586414.3125
R:137500.0,P:142699.25
R:113000.0,P:97812.1796875
R:130000.0,P:128371.0625
R:310000.0,P:320398.75
R:176485.0,P:181814.59375
R:149000.0,P:160812.875
R:85000.0,P:93177.7421875
R:202500.0,P:200723.21875
R:142600.0,P:144288.625
R:274000.0,P:274232.71875
R:170000.0,P:175725.25
R:105000.0,P:109745.2109375
R:268000.0,P:277575.125
R:267000.0,P:255069.5625
R:151000.0,P:140073.359375
R:176000.0,P:175525.8125
R:250580.0,P:237366.0
R:374000.0,P:367680.875
R:159500.0,P:158506.859375
R:164000.0,P:170628.03125
R:128500.0,P:128765.6953125
R:205000.0,P:217412.03125
R:328000.0,P:317576.09375
R:119000.0,P:122659.609375
R:200500.0,P:195712.203125
R:145000.0,P:139180.828125
R:167000.0,P:167654.53125
R:176000.0,P:181488.21875
R:125500.0,P:129729.7890625
R:154300.0,P:157190.15625
R:188700.0,P:163451.28125
R:207000.0,P:204329.5625
R:155000.0,P:157052.0625
R:135500.0,P:134385.421875
R:55993.0,P:63067.8828125
R:128900.0,P:127341.9765625
R:165000.0,P:158183.53125
R:147000.0,P:153500.6875
R:91300.0,P:97198.4921875
R:131000.0,P:141006.796875
R:142125.0,P:138635.828125
R:160000.0,P:166787.21875
R:221000.0,P:209744.1875
R:119500.0,P:115446.875
R:135000.0,P:134051.359375
R:93000.0,P:92220.9609375
R:185000.0,P:175068.4375
R:127500.0,P:139643.0625
R:80000.0,P:82802.8515625
R:90350.0,P:87768.2734375
R:157000.0,P:159095.875
R:485000.0,P:489551.875
R:165500.0,P:156217.34375
R:150500.0,P:151654.625
R:166000.0,P:168899.125
R:101800.0,P:96153.7421875
R:132000.0,P:130501.8046875
R:341000.0,P:345271.03125
R:132250.0,P:122027.6171875
R:180000.0,P:201671.34375
R:119750.0,P:114155.2578125
R:115000.0,P:113089.9140625
R:178000.0,P:178483.53125
R:106500.0,P:116607.4453125
R:137500.0,P:151747.625
R:134450.0,P:134710.453125
R:87000.0,P:90726.5703125
R:141000.0,P:148596.234375
R:123500.0,P:123935.0078125
R:125000.0,P:113070.8828125
R:130500.0,P:128640.7734375
R:178900.0,P:169075.4375
R:170000.0,P:166931.5625
R:177000.0,P:178313.65625
R:165150.0,P:166533.625
R:143000.0,P:143058.546875
R:235000.0,P:222116.75
R:136000.0,P:136705.390625
R:110000.0,P:109124.09375
R:119900.0,P:116672.640625
R:132000.0,P:141749.125
R:140000.0,P:133442.71875
R:142000.0,P:140500.625
R:135500.0,P:134270.984375
R:451950.0,P:459094.8125
R:235128.0,P:248475.4375
R:165000.0,P:170660.09375
R:205000.0,P:203224.46875
R:105000.0,P:122656.3125
R:241500.0,P:228914.96875
R:147000.0,P:154205.25
R:197000.0,P:205882.53125
R:215000.0,P:206603.03125
R:124500.0,P:128017.0703125
R:173900.0,P:179298.296875
R:155835.0,P:189237.34375
R:207500.0,P:216630.15625
R:250000.0,P:263923.40625
R:121600.0,P:113313.1015625
R:385000.0,P:391550.53125
R:107900.0,P:99039.2421875
R:170000.0,P:155411.234375
R:190000.0,P:226621.3125
R:148000.0,P:147190.40625
R:155000.0,P:158256.546875
R:115000.0,P:117767.921875
R:150000.0,P:135459.8125
R:155000.0,P:161723.1875
R:153500.0,P:140399.75
R:165000.0,P:154007.4375
R:73000.0,P:85225.9140625
R:120000.0,P:119841.0703125
R:114500.0,P:129704.2890625
R:130500.0,P:131111.296875
R:158500.0,P:154050.46875
R:175000.0,P:181234.875
R:148000.0,P:151051.53125
R:315000.0,P:345442.4375
R:289000.0,P:293183.5
R:270000.0,P:271959.625
R:237000.0,P:234795.0
R:103600.0,P:114595.8359375
R:110000.0,P:108804.578125
R:159000.0,P:157248.546875
R:139400.0,P:137598.03125
R:160000.0,P:160639.609375
R:235000.0,P:247377.15625
R:348000.0,P:351868.46875
R:185000.0,P:208086.9375
R:293077.0,P:294856.4375
R:144000.0,P:130797.9609375
R:116000.0,P:112142.359375
R:193000.0,P:190384.765625
R:76000.0,P:79555.125
R:147000.0,P:242504.15625
R:130000.0,P:119730.328125
R:81000.0,P:81211.8359375
R:154000.0,P:174229.125
R:155000.0,P:151397.265625
R:175500.0,P:166496.40625
R:107000.0,P:102518.5703125
R:239799.0,P:259996.078125
R:134000.0,P:139588.375
R:153000.0,P:152047.453125
R:236500.0,P:240722.0625
R:132500.0,P:130076.2265625
R:167900.0,P:178388.078125
R:266000.0,P:269648.5625
R:170000.0,P:140541.84375
R:149900.0,P:150221.0625
R:145500.0,P:141654.828125
R:191000.0,P:193138.078125
R:155000.0,P:164135.21875
R:245350.0,P:268642.59375
R:103000.0,P:104189.6328125
R:88000.0,P:84491.3828125
R:375000.0,P:365624.875
R:90000.0,P:90607.421875
R:339750.0,P:324248.5
R:114500.0,P:115352.8359375
R:120000.0,P:121017.015625
R:386250.0,P:389319.8125
R:92900.0,P:91900.2734375
R:256300.0,P:257741.859375
R:151000.0,P:149095.40625
R:126000.0,P:130309.0625
R:194500.0,P:203282.1875
R:142000.0,P:135349.96875
R:118500.0,P:117460.7265625
R:265900.0,P:275735.0
R:158000.0,P:152376.046875
R:183900.0,P:184546.453125
R:142953.0,P:142631.65625
R:97500.0,P:127020.953125
R:215000.0,P:218261.46875
R:152000.0,P:150718.03125
R:280000.0,P:278591.625
R:214900.0,P:211273.75
R:87000.0,P:95601.375
R:134800.0,P:137882.59375
R:185900.0,P:170156.28125
R:134000.0,P:141083.03125
R:195000.0,P:206383.75
R:184000.0,P:193226.21875
R:84900.0,P:90224.671875
R:172500.0,P:176185.65625
R:91000.0,P:91887.2578125
R:211000.0,P:218258.46875
R:140000.0,P:142572.3125
R:136900.0,P:150691.0625
R:109008.0,P:112070.453125
R:217500.0,P:198527.0
R:220000.0,P:223366.75
R:144152.0,P:146526.703125
R:271000.0,P:268632.90625
R:117000.0,P:126931.1640625
