R:263435.0,P:253401.203125
R:120000.0,P:123395.0703125
R:68400.0,P:81820.9765625
R:148500.0,P:152492.671875
R:125000.0,P:123672.9375
R:153000.0,P:155169.109375
R:160200.0,P:158767.265625
R:361919.0,P:357459.46875
R:174000.0,P:170841.359375
R:187000.0,P:186240.453125
R:207500.0,P:194904.515625
R:214000.0,P:210453.796875
R:167000.0,P:163588.4375
R:105000.0,P:108009.3515625
R:335000.0,P:332306.875
R:130000.0,P:159955.453125
R:475000.0,P:472338.59375
R:129000.0,P:124791.9609375
R:156000.0,P:134812.234375
R:178000.0,P:183497.859375
R:252000.0,P:248758.078125
R:233170.0,P:233055.5
R:392500.0,P:370549.40625
R:309000.0,P:308017.46875
R:97000.0,P:114352.2734375
R:354000.0,P:348909.09375
R:241000.0,P:185047.6875
R:154000.0,P:149121.828125
R:95000.0,P:94594.7421875
R:180000.0,P:178207.5
R:108959.0,P:105822.3203125
R:87000.0,P:93067.8046875
R:112000.0,P:111989.984375
R:255500.0,P:253347.953125
R:122900.0,P:121084.859375
R:216837.0,P:217030.046875
R:193500.0,P:189330.796875
R:169990.0,P:173617.921875
R:156500.0,P:150654.078125
R:112500.0,P:120945.8203125
R:145250.0,P:155189.953125
R:154000.0,P:149630.671875
R:115000.0,P:124967.9609375
R:265000.0,P:268168.03125
R:159000.0,P:167109.765625
R:295000.0,P:294296.65625
R:155000.0,P:151723.640625
R:143500.0,P:147559.265625
R:169500.0,P:172427.359375
R:196500.0,P:190859.203125
R:189950.0,P:188601.8125
R:235000.0,P:217176.59375
R:301000.0,P:293635.8125
R:350000.0,P:345955.96875
R:132500.0,P:126787.6015625
R:164500.0,P:167791.703125
R:100000.0,P:100994.7109375
R:253293.0,P:248856.84375
R:160000.0,P:158239.390625
R:147000.0,P:131836.75
R:192000.0,P:191920.9375
R:120500.0,P:115950.4140625
R:105500.0,P:105534.4140625
R:35311.0,P:34741.0078125
R:143000.0,P:142198.609375
R:440000.0,P:430670.0
R:214000.0,P:202962.328125
R:100000.0,P:97739.6171875
R:154500.0,P:152726.578125
R:198900.0,P:198954.015625
R:131000.0,P:124555.65625
R:227875.0,P:227352.59375
R:173733.0,P:167791.703125
R:155000.0,P:153155.546875
R:133000.0,P:130597.3984375
R:240000.0,P:236954.390625
R:254000.0,P:237870.703125
R:280000.0,P:270207.21875
R:132000.0,P:120780.5234375
R:143000.0,P:137960.609375
R:108000.0,P:100260.53125
R:120500.0,P:120865.6328125
R:171000.0,P:171951.359375
R:181000.0,P:184765.375
R:215000.0,P:211871.65625
R:112500.0,P:133769.046875
R:280000.0,P:276784.03125
R:372500.0,P:367309.125
R:140000.0,P:134835.984375
R:91000.0,P:89121.8984375
R:147000.0,P:140490.578125
R:125000.0,P:124746.0078125
R:266000.0,P:261810.078125
R:145000.0,P:146499.546875
R:360000.0,P:359764.28125
R:164500.0,P:155549.34375
R:148500.0,P:150887.015625
R:232000.0,P:229188.453125
R:131400.0,P:135203.328125
R:155000.0,P:160447.53125
R:254900.0,P:241675.578125
R:172500.0,P:182062.671875
R:143000.0,P:123226.5
R:126175.0,P:122883.1953125
R:88000.0,P:87048.4921875
R:125000.0,P:125945.7734375
R:174000.0,P:184283.328125
R:129500.0,P:129574.6875
R:119900.0,P:120046.0546875
R:118500.0,P:117239.109375
R:176000.0,P:174981.296875
R:99500.0,P:119843.15625
R:297000.0,P:289487.78125
R:118964.0,P:116953.171875
R:226700.0,P:209167.328125
R:138500.0,P:135625.171875
R:142500.0,P:138935.625
R:139000.0,P:138274.765625
R:171000.0,P:164744.296875
R:160000.0,P:159848.359375
R:132000.0,P:136925.1875
R:141000.0,P:133913.59375
R:201000.0,P:200291.78125
R:75000.0,P:77683.609375
R:124000.0,P:121650.1484375
R:127000.0,P:122907.0859375
R:139000.0,P:139234.375
R:100000.0,P:101296.1484375
R:152000.0,P:139389.890625
R:134900.0,P:135908.125
R:131500.0,P:135703.546875
R:350000.0,P:352554.40625
R:378500.0,P:379128.84375
R:185500.0,P:201225.796875
R:230000.0,P:225073.046875
R:189000.0,P:188772.890625
R:200000.0,P:197852.21875
R:207000.0,P:207320.859375
R:185850.0,P:190666.546875
R:144000.0,P:141226.953125
R:210000.0,P:218553.59375
R:129900.0,P:136016.296875
R:215200.0,P:208810.921875
R:145000.0,P:155206.640625
R:253000.0,P:255640.375
R:62383.0,P:103479.7890625
R:124000.0,P:125068.6796875
R:233230.0,P:243162.09375
R:135000.0,P:134231.765625
R:206900.0,P:198817.203125
R:194201.0,P:190601.609375
R:110000.0,P:109732.28125
R:142500.0,P:141577.484375
R:109900.0,P:111626.5546875
R:135000.0,P:137164.890625
R:240000.0,P:258050.28125
R:155900.0,P:146606.484375
R:125500.0,P:129917.4921875
R:201000.0,P:187876.296875
R:64500.0,P:63191.90625
R:240000.0,P:233963.421875
R:118858.0,P:116970.6953125
R:139950.0,P:126741.9375
R:123000.0,P:126851.3203125
R:316600.0,P:311479.90625
R:117500.0,P:125964.515625
R:117500.0,P:116285.3359375
R:91500.0,P:110863.8359375
R:204900.0,P:207098.609375
R:239000.0,P:238605.375
R:89000.0,P:88691.7421875
R:625000.0,P:619977.125
R:141000.0,P:133219.453125
R:134000.0,P:128919.7734375
R:83000.0,P:85686.1328125
R:274900.0,P:272472.34375
R:109000.0,P:103796.2890625
R:102000.0,P:110515.375
R:305000.0,P:300280.46875
R:325000.0,P:323940.34375
R:135000.0,P:125785.8203125
R:130000.0,P:125179.2109375
R:191000.0,P:188128.90625
R:200100.0,P:196901.796875
R:367294.0,P:361474.875
R:221000.0,P:215871.796875
R:225000.0,P:229681.078125
R:258000.0,P:253867.328125
R:184750.0,P:182974.265625
R:156000.0,P:150470.828125
R:139000.0,P:140046.921875
R:212000.0,P:211443.8125
R:127500.0,P:130556.203125
R:119000.0,P:115207.34375
R:117000.0,P:120755.8359375
R:208500.0,P:213112.328125
R:210000.0,P:195091.703125
R:146500.0,P:141761.484375
R:172785.0,P:165693.359375
R:60000.0,P:111198.9609375
R:138887.0,P:138216.421875
R:225000.0,P:225054.421875
R:135000.0,P:133890.453125
R:133000.0,P:135808.46875
R:285000.0,P:283633.03125
R:60000.0,P:59734.1015625
R:125500.0,P:115776.0546875
R:286000.0,P:282995.34375
R:148000.0,P:145722.625
R:131500.0,P:134207.328125
R:215000.0,P:195039.28125
R:159500.0,P:157972.796875
R:176000.0,P:173326.234375
R:257000.0,P:260807.84375
R:79000.0,P:80860.4921875
R:190000.0,P:194375.171875
R:147500.0,P:147269.4375
R:242000.0,P:241209.359375
R:260000.0,P:264145.15625
R:501837.0,P:496541.46875
R:119000.0,P:119327.5078125
R:83000.0,P:83309.7109375
R:113000.0,P:114247.8828125
R:239500.0,P:241280.015625
R:370878.0,P:368652.1875
R:180000.0,P:174737.328125
R:118000.0,P:115642.6015625
R:264561.0,P:262510.1875
R:119000.0,P:118644.765625
R:219500.0,P:209648.5625
R:179900.0,P:166601.109375
R:277500.0,P:273840.21875
R:230500.0,P:237983.453125
R:220000.0,P:220445.875
R:236000.0,P:231692.296875
R:106000.0,P:99375.8984375
R:269790.0,P:236002.015625
R:403000.0,P:400375.84375
R:137500.0,P:130147.8671875
R:105000.0,P:101924.0390625
R:176000.0,P:173765.375
R:82500.0,P:97723.9765625
R:98600.0,P:119125.515625
R:129000.0,P:124515.5078125
R:149900.0,P:134915.28125
R:192000.0,P:192947.78125
R:110500.0,P:120365.125
R:100000.0,P:98292.8203125
R:248328.0,P:239638.203125
R:180000.0,P:181562.453125
R:140000.0,P:135959.296875
R:110000.0,P:110853.4453125
R:166000.0,P:162002.765625
R:124900.0,P:123650.2734375
R:187500.0,P:185649.53125
R:318000.0,P:314173.59375
R:135000.0,P:142206.171875
R:275000.0,P:274059.59375
R:68500.0,P:70392.3125
R:137000.0,P:133508.046875
R:127500.0,P:126122.0546875
R:128000.0,P:125710.046875
R:274725.0,P:273072.84375
R:251000.0,P:252265.625
R:242000.0,P:241521.984375
R:140000.0,P:143369.578125
R:155000.0,P:147005.34375
R:369900.0,P:370567.90625
R:202900.0,P:204186.328125
R:153900.0,P:151420.140625
R:146000.0,P:148818.546875
R:170000.0,P:163934.234375
R:208300.0,P:207933.15625
R:89500.0,P:92084.8515625
R:230000.0,P:233706.640625
R:129900.0,P:116642.3515625
R:214000.0,P:217655.734375
R:107400.0,P:105894.1015625
R:95000.0,P:88359.2890625
R:91000.0,P:93366.6328125
R:280000.0,P:248912.078125
R:79900.0,P:73737.6640625
R:208900.0,P:199284.59375
R:187000.0,P:189699.171875
R:410000.0,P:417888.65625
R:320000.0,P:315068.78125
R:213000.0,P:210020.171875
R:126000.0,P:127483.6640625
R:287090.0,P:284407.84375
R:137000.0,P:130543.3828125
R:124500.0,P:123225.6953125
R:194000.0,P:201046.1875
R:164000.0,P:163438.53125
R:164000.0,P:162771.171875
R:446261.0,P:441082.28125
R:163500.0,P:146869.203125
R:165500.0,P:164211.484375
R:98300.0,P:99078.234375
R:149500.0,P:154922.390625
R:372402.0,P:364126.59375
R:188000.0,P:187498.484375
R:395000.0,P:385452.96875
R:259500.0,P:259580.203125
R:137450.0,P:140022.734375
R:152000.0,P:143515.4375
R:110000.0,P:112460.5625
R:395192.0,P:392862.53125
R:125000.0,P:117094.2265625
R:279500.0,P:256919.96875
R:161000.0,P:161328.859375
R:100000.0,P:100442.8046875
R:140000.0,P:130266.0390625
R:385000.0,P:380889.28125
R:112000.0,P:114040.40625
R:178000.0,P:178469.796875
R:175000.0,P:177224.734375
R:200000.0,P:203803.4375
R:159895.0,P:163418.390625
R:140000.0,P:135289.46875
R:140000.0,P:157439.796875
R:274300.0,P:270136.40625
R:186500.0,P:189838.359375
R:176432.0,P:171505.703125
R:197000.0,P:192681.765625
R:284000.0,P:283141.8125
R:181000.0,P:181543.984375
R:139000.0,P:148940.046875
R:85000.0,P:90799.3359375
R:142000.0,P:142059.671875
R:229456.0,P:224016.28125
R:290000.0,P:284963.96875
R:153575.0,P:152586.015625
R:113000.0,P:118086.8828125
R:150000.0,P:149578.984375
R:257500.0,P:257730.625
R:306000.0,P:301999.03125
R:155000.0,P:152490.78125
R:143000.0,P:140685.203125
R:189000.0,P:188212.390625
R:233000.0,P:246856.328125
R:212900.0,P:210025.953125
R:110000.0,P:109959.0859375
R:113000.0,P:112280.171875
R:116000.0,P:114355.1015625
R:281213.0,P:280896.28125
R:179500.0,P:178467.703125
R:227000.0,P:226566.484375
R:163990.0,P:166158.171875
R:333168.0,P:323789.53125
R:126500.0,P:126465.2265625
R:232000.0,P:222250.34375
R:134432.0,P:129758.203125
R:169000.0,P:172198.484375
R:175000.0,P:174143.15625
R:145000.0,P:144805.5625
R:180500.0,P:180725.109375
R:133900.0,P:139132.0
R:171900.0,P:171918.609375
R:98000.0,P:99132.0234375
R:118500.0,P:126357.71875
R:173000.0,P:172101.765625
R:318061.0,P:313642.5
R:305900.0,P:309828.5
R:135000.0,P:141898.984375
R:140000.0,P:149419.671875
R:135000.0,P:140256.34375
R:269500.0,P:267090.1875
R:186700.0,P:182351.640625
R:325000.0,P:321622.46875
R:402000.0,P:384741.09375
R:157900.0,P:155156.40625
R:66500.0,P:90290.453125
R:133700.0,P:131478.046875
R:195000.0,P:182907.8125
R:239000.0,P:237242.40625
R:109500.0,P:107378.765625
R:205000.0,P:204652.421875
R:189000.0,P:199025.234375
R:244000.0,P:243393.265625
R:221500.0,P:222764.453125
R:192000.0,P:205856.828125
R:174900.0,P:154966.015625
R:119200.0,P:121424.9296875
R:315500.0,P:312086.59375
R:230000.0,P:227028.046875
R:224900.0,P:223253.890625
R:380000.0,P:377858.71875
R:140200.0,P:130635.5625
R:157500.0,P:150966.484375
R:196500.0,P:192170.921875
R:110000.0,P:117547.2265625
R:97000.0,P:98633.296875
R:180000.0,P:177006.765625
R:100000.0,P:93381.6796875
R:122000.0,P:120523.2109375
R:106000.0,P:113833.03125
R:745000.0,P:745463.4375
R:155000.0,P:152901.921875
R:116050.0,P:114667.15625
R:224500.0,P:222789.421875
R:163000.0,P:161369.03125
R:150900.0,P:152167.453125
R:134500.0,P:123126.96875
R:123000.0,P:125063.6484375
R:555000.0,P:548446.1875
R:239000.0,P:238734.953125
R:177000.0,P:173204.296875
R:140000.0,P:141405.796875
R:183500.0,P:181077.5
R:244000.0,P:243272.375
R:203000.0,P:196347.96875
R:140000.0,P:147950.484375
R:170000.0,P:174017.953125
R:101000.0,P:102519.125
R:175500.0,P:171534.640625
R:282922.0,P:271976.125
R:192000.0,P:198736.671875
R:220000.0,P:219076.734375
R:144000.0,P:144634.890625
R:202665.0,P:198494.234375
R:133000.0,P:135624.25
R:181134.0,P:177956.1875
R:129900.0,P:134917.296875
R:157000.0,P:155425.359375
R:162900.0,P:173763.859375
R:301500.0,P:309603.1875
R:107500.0,P:107905.7890625
R:159000.0,P:156523.65625
R:141500.0,P:141554.078125
R:227000.0,P:210860.1875
R:82000.0,P:84019.1484375
R:249700.0,P:244526.21875
R:128200.0,P:122252.9609375
R:270000.0,P:258673.53125
R:190000.0,P:199172.890625
R:194000.0,P:193564.671875
R:213000.0,P:206306.921875
R:124000.0,P:124060.7890625
R:143900.0,P:136351.75
R:183000.0,P:185467.65625
R:131500.0,P:134588.53125
R:219500.0,P:206982.390625
R:118000.0,P:125101.8671875
R:187500.0,P:191004.046875
R:218000.0,P:218473.140625
R:163000.0,P:166125.6875
R:174000.0,P:172394.140625
R:270000.0,P:263757.46875
R:139400.0,P:142140.859375
R:163000.0,P:161734.28125
R:239000.0,P:238030.125
R:78000.0,P:72470.5
R:213500.0,P:200677.640625
R:120500.0,P:114633.1015625
R:145000.0,P:132389.140625
R:125000.0,P:122605.59375
R:119000.0,P:119528.6015625
R:337500.0,P:333540.71875
R:135000.0,P:134200.828125
R:262500.0,P:249659.515625
R:215000.0,P:212163.1875
R:189000.0,P:202691.84375
R:424870.0,P:419277.4375
R:129000.0,P:131961.09375
R:128000.0,P:94283.1953125
R:135000.0,P:136284.09375
R:151400.0,P:153059.703125
R:193500.0,P:195463.890625
R:326000.0,P:321061.1875
R:172500.0,P:187742.296875
R:359100.0,P:353640.0625
R:252678.0,P:248464.546875
R:125000.0,P:128700.4921875
R:192500.0,P:198954.390625
R:325300.0,P:322978.53125
R:167000.0,P:165667.671875
R:124900.0,P:108158.3828125
R:230000.0,P:226174.265625
R:140000.0,P:143433.515625
R:423000.0,P:417655.59375
R:160000.0,P:159798.65625
R:157000.0,P:156790.40625
R:314813.0,P:310183.3125
R:132000.0,P:129352.7734375
R:149900.0,P:149769.796875
R:255000.0,P:266171.59375
R:167000.0,P:167626.421875
R:179900.0,P:180290.765625
R:178000.0,P:179100.796875
R:120000.0,P:112821.8515625
R:128000.0,P:126460.6015625
R:179900.0,P:177818.828125
R:148000.0,P:143591.234375
R:175000.0,P:173746.734375
R:239686.0,P:236573.046875
R:152000.0,P:157515.359375
R:160000.0,P:156745.90625
R:394617.0,P:390529.53125
R:155000.0,P:154416.53125
R:141000.0,P:133458.96875
R:149700.0,P:151195.484375
R:100000.0,P:106405.5
R:109000.0,P:125796.5703125
R:115000.0,P:120582.75
R:105000.0,P:103062.5078125
R:231500.0,P:222009.296875
R:171000.0,P:165836.640625
R:156932.0,P:160771.015625
R:108000.0,P:107802.1953125
R:197000.0,P:196709.578125
R:256000.0,P:254795.53125
R:262280.0,P:250966.296875
R:260400.0,P:231601.359375
R:210000.0,P:205971.515625
R:303477.0,P:302331.28125
R:58500.0,P:56381.125
R:167240.0,P:167475.703125
R:128000.0,P:129294.9375
R:118400.0,P:116130.6484375
R:110000.0,P:107263.1796875
R:136500.0,P:133731.03125
R:130000.0,P:141113.421875
R:271900.0,P:265860.15625
R:130000.0,P:138640.578125
R:142500.0,P:141775.546875
R:119500.0,P:117323.3671875
R:174000.0,P:171706.09375
R:179665.0,P:177748.546875
R:213250.0,P:213538.765625
R:148000.0,P:149165.65625
R:179400.0,P:174558.859375
R:224900.0,P:214797.5
R:248900.0,P:250068.859375
R:320000.0,P:306948.71875
R:317000.0,P:313621.78125
R:112000.0,P:108962.6328125
R:402861.0,P:398376.09375
R:112000.0,P:118678.5546875
R:290000.0,P:288509.46875
R:250000.0,P:246949.6875
R:213000.0,P:192616.03125
R:123000.0,P:120811.8359375
R:125000.0,P:114621.5390625
R:118000.0,P:119654.7109375
R:119500.0,P:118775.9140625
R:319900.0,P:313694.28125
R:325000.0,P:325207.3125
R:153500.0,P:156818.359375
R:324000.0,P:319868.15625
R:129000.0,P:125846.8203125
R:176000.0,P:179686.265625
R:239900.0,P:241574.515625
R:189000.0,P:189356.640625
R:169000.0,P:178583.984375
R:230000.0,P:228703.171875
R:119000.0,P:116162.1953125
R:202500.0,P:203256.796875
R:139000.0,P:138137.953125
R:125000.0,P:122146.0390625
R:128000.0,P:126312.09375
R:171500.0,P:176691.328125
R:165400.0,P:167134.953125
R:135000.0,P:123607.4921875
R:139500.0,P:129660.15625
R:167500.0,P:165185.09375
R:102776.0,P:99126.8046875
R:190000.0,P:184598.390625
R:168500.0,P:161315.90625
R:178000.0,P:178118.578125
R:88000.0,P:88734.5703125
R:335000.0,P:332431.40625
R:235000.0,P:233083.71875
R:311872.0,P:308703.125
R:179900.0,P:190199.234375
R:127500.0,P:141154.46875
R:104900.0,P:109526.7578125
R:239000.0,P:235873.375
R:133500.0,P:123457.8984375
R:206000.0,P:191639.359375
R:120000.0,P:116865.3984375
R:319000.0,P:291356.71875
R:206300.0,P:206112.5
R:180000.0,P:194696.328125
R:325624.0,P:323799.875
R:200000.0,P:197268.046875
R:175900.0,P:175784.265625
R:130000.0,P:150888.4375
R:173000.0,P:165642.671875
R:192140.0,P:187291.671875
R:276000.0,P:276005.96875
R:187100.0,P:192531.921875
R:174500.0,P:165939.84375
R:147000.0,P:145244.6875
R:198500.0,P:198246.703125
R:187750.0,P:187684.78125
R:176500.0,P:174921.484375
R:129900.0,P:122848.0859375
R:152000.0,P:148019.15625
R:241500.0,P:246461.578125
R:185000.0,P:173342.140625
R:325000.0,P:323365.4375
R:160000.0,P:161502.046875
R:260000.0,P:256488.21875
R:107500.0,P:105961.0
R:175500.0,P:166654.03125
R:115000.0,P:113150.15625
R:124000.0,P:121036.2734375
R:184000.0,P:182222.859375
R:140000.0,P:140722.796875
R:243000.0,P:239216.796875
R:224000.0,P:210690.265625
R:96500.0,P:93713.9609375
R:129500.0,P:138904.484375
R:147000.0,P:143788.75
R:192500.0,P:194355.171875
R:179900.0,P:176352.671875
R:246578.0,P:238631.828125
R:179200.0,P:181017.203125
R:232600.0,P:228375.359375
R:181500.0,P:172287.421875
R:197900.0,P:207181.890625
R:278000.0,P:276858.46875
R:178000.0,P:177434.984375
R:582933.0,P:577895.4375
R:137500.0,P:138328.796875
R:113000.0,P:97130.3203125
R:130000.0,P:134404.421875
R:310000.0,P:308955.96875
R:176485.0,P:176065.734375
R:149000.0,P:163314.609375
R:85000.0,P:89891.8671875
R:202500.0,P:198494.234375
R:142600.0,P:139466.734375
R:274000.0,P:270856.15625
R:170000.0,P:165332.46875
R:105000.0,P:103588.2109375
R:268000.0,P:265909.96875
R:267000.0,P:259995.125
R:151000.0,P:149182.03125
R:176000.0,P:174522.359375
R:250580.0,P:249174.15625
R:374000.0,P:370121.65625
R:159500.0,P:157779.8125
R:164000.0,P:160333.203125
R:128500.0,P:125469.671875
R:205000.0,P:202807.8125
R:328000.0,P:327644.96875
R:119000.0,P:120249.7265625
R:200500.0,P:200143.171875
R:145000.0,P:138555.390625
R:167000.0,P:167109.46875
R:176000.0,P:178041.0625
R:125500.0,P:125687.7890625
R:154300.0,P:155506.984375
R:188700.0,P:170022.28125
R:207000.0,P:202608.625
R:155000.0,P:154238.359375
R:135500.0,P:123871.15625
R:55993.0,P:57921.296875
R:128900.0,P:126207.6875
R:165000.0,P:161282.078125
R:147000.0,P:147966.953125
R:91300.0,P:99486.421875
R:131000.0,P:124840.34375
R:142125.0,P:132614.21875
R:160000.0,P:159609.8125
R:221000.0,P:207147.234375
R:119500.0,P:119532.15625
R:135000.0,P:133269.390625
R:93000.0,P:90987.8203125
R:185000.0,P:183069.140625
R:127500.0,P:135289.46875
R:80000.0,P:81246.6328125
R:90350.0,P:87443.5390625
R:157000.0,P:160157.375
R:485000.0,P:483344.5
R:165500.0,P:154646.078125
R:150500.0,P:146814.515625
R:166000.0,P:158902.421875
R:101800.0,P:97856.3203125
R:132000.0,P:132574.125
R:341000.0,P:333151.84375
R:132250.0,P:125545.3046875
R:180000.0,P:179227.921875
R:119750.0,P:119925.609375
R:115000.0,P:113014.71875
R:178000.0,P:177539.609375
R:106500.0,P:101884.5078125
R:137500.0,P:150888.4375
R:134450.0,P:141156.09375
R:87000.0,P:86689.03125
R:141000.0,P:138943.390625
R:123500.0,P:122894.5625
R:125000.0,P:112097.203125
R:130500.0,P:129266.328125
R:178900.0,P:176767.171875
R:170000.0,P:168227.640625
R:177000.0,P:174295.4375
R:165150.0,P:158499.046875
R:143000.0,P:147572.328125
R:235000.0,P:228068.15625
R:136000.0,P:135822.515625
R:110000.0,P:111538.4921875
R:119900.0,P:121098.4765625
R:132000.0,P:136976.703125
R:140000.0,P:141661.234375
R:142000.0,P:143974.453125
R:135500.0,P:133135.640625
R:451950.0,P:446716.125
R:235128.0,P:236824.5
R:165000.0,P:162300.796875
R:205000.0,P:205758.1875
R:105000.0,P:106476.6171875
R:241500.0,P:233992.359375
R:147000.0,P:145904.296875
R:197000.0,P:194485.09375
R:215000.0,P:208840.203125
R:124500.0,P:124291.2578125
R:173900.0,P:178767.8125
R:155835.0,P:163516.171875
R:207500.0,P:220690.703125
R:250000.0,P:256282.359375
R:121600.0,P:111840.5390625
R:385000.0,P:378777.65625
R:107900.0,P:108817.3046875
R:170000.0,P:167648.140625
R:190000.0,P:219739.171875
R:148000.0,P:139384.984375
R:155000.0,P:150523.640625
R:115000.0,P:116221.6015625
R:150000.0,P:137997.046875
R:155000.0,P:159896.078125
R:153500.0,P:146857.296875
R:165000.0,P:154418.109375
R:73000.0,P:89205.0
R:120000.0,P:119143.5234375
R:114500.0,P:127980.515625
R:130500.0,P:128586.578125
R:158500.0,P:153664.390625
R:175000.0,P:172921.203125
R:148000.0,P:142699.75
R:315000.0,P:310715.40625
R:289000.0,P:285181.96875
R:270000.0,P:268228.96875
R:237000.0,P:235337.109375
R:103600.0,P:104759.5859375
R:110000.0,P:109340.890625
R:159000.0,P:164956.984375
R:139400.0,P:135307.640625
R:160000.0,P:155202.671875
R:235000.0,P:242146.578125
R:348000.0,P:344142.03125
R:185000.0,P:180852.296875
R:293077.0,P:283578.71875
R:144000.0,P:142581.625
R:116000.0,P:109448.1171875
R:193000.0,P:186985.921875
R:76000.0,P:75843.65625
R:147000.0,P:150618.234375
R:130000.0,P:115915.65625
R:81000.0,P:81064.1796875
R:154000.0,P:165642.671875
R:155000.0,P:159840.734375
R:175500.0,P:173481.921875
R:107000.0,P:104580.6015625
R:239799.0,P:233054.1875
R:134000.0,P:139743.390625
R:153000.0,P:148124.921875
R:236500.0,P:234661.34375
R:132500.0,P:125579.171875
R:167900.0,P:158824.359375
R:266000.0,P:264866.875
R:170000.0,P:141226.234375
R:149900.0,P:150059.21875
R:145500.0,P:143108.765625
R:191000.0,P:190588.828125
R:155000.0,P:152031.296875
R:245350.0,P:253113.640625
R:103000.0,P:115184.390625
R:88000.0,P:92322.875
R:375000.0,P:369684.90625
R:90000.0,P:96040.046875
R:339750.0,P:335913.34375
R:114500.0,P:117926.359375
R:120000.0,P:129530.5625
R:386250.0,P:379127.125
R:92900.0,P:93669.6640625
R:256300.0,P:256544.671875
R:151000.0,P:149940.796875
R:126000.0,P:112784.9140625
R:194500.0,P:203395.015625
R:142000.0,P:138761.890625
R:118500.0,P:117920.2109375
R:265900.0,P:264842.46875
R:158000.0,P:155557.046875
R:183900.0,P:178252.875
R:142953.0,P:141272.78125
R:97500.0,P:119182.0546875
R:215000.0,P:214425.25
R:152000.0,P:145602.953125
R:280000.0,P:272889.34375
R:214900.0,P:213650.390625
R:87000.0,P:82061.9609375
R:134800.0,P:135354.265625
R:185900.0,P:186948.578125
R:134000.0,P:147326.34375
R:195000.0,P:207613.203125
R:184000.0,P:183442.609375
R:84900.0,P:86338.2421875
R:172500.0,P:172796.984375
R:91000.0,P:91418.7265625
R:211000.0,P:222854.296875
R:140000.0,P:146420.5
R:136900.0,P:138236.625
R:109008.0,P:108572.4296875
R:217500.0,P:217573.140625
R:220000.0,P:216803.890625
R:144152.0,P:144661.734375
R:271000.0,P:260423.015625
R:117000.0,P:114249.2265625
