R:263435.0,P:227181.21875
R:325000.0,P:315488.9375
R:402000.0,P:402457.75
R:157900.0,P:150246.421875
R:66500.0,P:95265.7890625
R:133700.0,P:126600.5078125
R:195000.0,P:187055.984375
R:239000.0,P:207115.0625
R:109500.0,P:115110.0859375
R:205000.0,P:203001.109375
R:189000.0,P:202355.828125
R:244000.0,P:244270.546875
R:221500.0,P:250093.828125
R:192000.0,P:202183.421875
R:174900.0,P:150030.546875
R:119200.0,P:118276.2109375
R:315500.0,P:310844.3125
R:230000.0,P:222308.953125
R:224900.0,P:221413.890625
R:380000.0,P:379504.6875
R:140200.0,P:135484.015625
R:157500.0,P:149965.546875
R:196500.0,P:203152.90625
R:110000.0,P:120466.453125
R:97000.0,P:101681.5546875
R:180000.0,P:175903.046875
R:100000.0,P:90942.609375
R:122000.0,P:151697.3125
R:106000.0,P:109418.0
R:745000.0,P:743139.6875
R:155000.0,P:146198.015625
R:116050.0,P:105555.6640625
R:224500.0,P:224601.578125
R:163000.0,P:157196.78125
R:150900.0,P:178767.578125
R:134500.0,P:124511.9609375
R:123000.0,P:123171.9609375
R:555000.0,P:559908.25
R:239000.0,P:248145.578125
R:177000.0,P:143656.8125
R:140000.0,P:159828.328125
R:183500.0,P:194200.375
R:244000.0,P:243920.328125
R:203000.0,P:191290.640625
R:140000.0,P:152811.453125
R:170000.0,P:175581.171875
R:101000.0,P:100908.5546875
R:175500.0,P:176563.296875
R:282922.0,P:229805.96875
R:192000.0,P:205297.078125
R:220000.0,P:217111.609375
R:144000.0,P:148029.578125
R:202665.0,P:192158.5625
R:133000.0,P:127613.3984375
R:181134.0,P:183463.828125
R:129900.0,P:139876.234375
R:157000.0,P:152247.578125
R:162900.0,P:175923.984375
R:301500.0,P:308080.21875
R:107500.0,P:107912.1171875
R:159000.0,P:154796.109375
R:141500.0,P:132557.921875
R:227000.0,P:216378.125
R:82000.0,P:87717.3125
R:249700.0,P:246780.703125
R:128200.0,P:123709.3359375
R:270000.0,P:266944.84375
R:190000.0,P:200251.265625
R:194000.0,P:200190.078125
R:213000.0,P:216636.828125
R:124000.0,P:123948.4453125
R:143900.0,P:124798.2421875
R:183000.0,P:197620.359375
R:131500.0,P:140080.53125
R:219500.0,P:208409.078125
R:118000.0,P:122834.3671875
R:187500.0,P:189008.46875
R:218000.0,P:182239.421875
R:163000.0,P:168417.421875
R:174000.0,P:172110.59375
R:270000.0,P:271731.9375
R:139400.0,P:139752.453125
R:163000.0,P:163548.421875
R:239000.0,P:179525.9375
R:78000.0,P:96277.4765625
R:213500.0,P:206359.109375
R:120500.0,P:115820.6640625
R:145000.0,P:132786.453125
R:125000.0,P:135462.296875
R:119000.0,P:108581.9765625
R:337500.0,P:335314.875
R:135000.0,P:143967.734375
R:262500.0,P:243280.25
R:215000.0,P:219180.453125
R:189000.0,P:194630.765625
R:424870.0,P:399806.28125
R:129000.0,P:124032.4375
R:128000.0,P:106051.9609375
R:135000.0,P:145999.59375
R:151400.0,P:185121.34375
R:193500.0,P:211004.765625
R:326000.0,P:329976.65625
R:172500.0,P:204729.1875
R:359100.0,P:391807.125
R:252678.0,P:218008.59375
R:125000.0,P:126758.6328125
R:192500.0,P:187778.921875
R:325300.0,P:363162.59375
R:167000.0,P:156494.171875
R:124900.0,P:114805.7578125
R:230000.0,P:235501.984375
R:140000.0,P:142052.390625
R:423000.0,P:422804.5
R:160000.0,P:158820.90625
R:157000.0,P:182709.921875
R:314813.0,P:326681.0625
R:132000.0,P:129650.359375
R:149900.0,P:138863.828125
R:255000.0,P:251770.640625
R:167000.0,P:156091.90625
R:179900.0,P:193814.328125
R:178000.0,P:180089.515625
R:120000.0,P:110809.8046875
R:128000.0,P:113507.7109375
R:179900.0,P:176398.578125
R:148000.0,P:153980.640625
R:175000.0,P:178437.953125
R:239686.0,P:275671.25
R:152000.0,P:151868.546875
R:160000.0,P:126557.0546875
R:394617.0,P:390708.8125
R:155000.0,P:154995.015625
R:141000.0,P:134564.953125
R:149700.0,P:154925.171875
R:100000.0,P:112989.3359375
R:109000.0,P:134655.140625
R:115000.0,P:121340.8046875
R:105000.0,P:99653.2109375
R:231500.0,P:211488.25
R:171000.0,P:150162.875
R:156932.0,P:165241.34375
R:108000.0,P:119731.3359375
R:197000.0,P:180376.34375
R:256000.0,P:237431.65625
R:262280.0,P:221552.828125
R:260400.0,P:231829.328125
R:210000.0,P:208169.28125
R:303477.0,P:307231.375
R:58500.0,P:77006.6484375
R:167240.0,P:181410.453125
R:128000.0,P:119547.921875
R:118400.0,P:124677.8984375
R:110000.0,P:101791.5078125
R:136500.0,P:137284.515625
R:130000.0,P:127723.4453125
R:271900.0,P:266753.53125
R:130000.0,P:169883.671875
R:142500.0,P:136909.3125
R:119500.0,P:121488.4765625
R:174000.0,P:185369.359375
R:179665.0,P:180362.90625
R:213250.0,P:212533.328125
R:148000.0,P:137638.109375
R:179400.0,P:185041.03125
R:224900.0,P:209514.171875
R:248900.0,P:272401.125
R:320000.0,P:315211.8125
R:317000.0,P:321715.28125
R:112000.0,P:115160.0234375
R:402861.0,P:401225.9375
R:112000.0,P:110325.9765625
R:290000.0,P:294308.125
R:250000.0,P:230690.078125
R:213000.0,P:184146.046875
R:123000.0,P:124810.2734375
R:125000.0,P:122676.6015625
R:118000.0,P:110350.2578125
R:119500.0,P:105534.703125
R:319900.0,P:317571.375
R:325000.0,P:328245.59375
R:153500.0,P:154310.703125
R:324000.0,P:305959.5
R:129000.0,P:130493.7421875
R:176000.0,P:170970.8125
R:239900.0,P:234922.890625
R:189000.0,P:178486.109375
R:169000.0,P:185012.15625
R:230000.0,P:229877.703125
R:119000.0,P:134486.5625
R:202500.0,P:184597.328125
R:139000.0,P:114425.5078125
R:125000.0,P:147083.5625
R:128000.0,P:137562.03125
R:171500.0,P:169522.578125
R:165400.0,P:175771.546875
R:135000.0,P:121018.0546875
R:139500.0,P:129146.7578125
R:167500.0,P:152326.390625
R:102776.0,P:74268.3203125
R:190000.0,P:182751.921875
R:168500.0,P:163482.6875
R:178000.0,P:164932.9375
R:88000.0,P:115745.1015625
R:335000.0,P:333476.46875
R:235000.0,P:273121.1875
R:311872.0,P:295899.6875
R:179900.0,P:181481.828125
R:127500.0,P:176009.109375
R:104900.0,P:118663.2734375
R:239000.0,P:229491.578125
R:133500.0,P:121802.6015625
R:206000.0,P:194596.484375
R:120000.0,P:122774.234375
R:319000.0,P:304378.9375
R:206300.0,P:204571.765625
R:180000.0,P:185638.703125
R:325624.0,P:325488.9375
R:200000.0,P:208032.703125
R:175900.0,P:170362.359375
R:130000.0,P:182812.734375
R:173000.0,P:189727.359375
R:192140.0,P:180052.484375
R:276000.0,P:301039.375
R:187100.0,P:200066.859375
R:174500.0,P:147665.421875
R:147000.0,P:144341.734375
R:198500.0,P:201908.703125
R:187750.0,P:193172.796875
R:176500.0,P:188063.515625
R:129900.0,P:130576.4296875
R:152000.0,P:164237.203125
R:241500.0,P:235486.8125
R:185000.0,P:169699.0625
R:325000.0,P:317911.4375
R:160000.0,P:158032.515625
R:260000.0,P:275478.25
R:107500.0,P:106083.0703125
R:175500.0,P:189435.171875
R:115000.0,P:115865.2734375
R:124000.0,P:155084.703125
R:184000.0,P:183198.71875
R:140000.0,P:144719.046875
R:243000.0,P:201750.125
R:224000.0,P:200533.265625
R:96500.0,P:95346.6328125
R:129500.0,P:154623.296875
R:147000.0,P:149539.015625
R:192500.0,P:199961.140625
R:179900.0,P:189556.078125
R:246578.0,P:197621.46875
R:179200.0,P:197384.734375
R:232600.0,P:234707.78125
R:181500.0,P:169735.875
R:197900.0,P:203323.046875
R:278000.0,P:272749.71875
R:178000.0,P:177758.984375
R:582933.0,P:584811.4375
R:137500.0,P:154887.984375
R:113000.0,P:87767.59375
R:130000.0,P:127722.03125
R:310000.0,P:316810.5625
R:176485.0,P:184435.203125
R:149000.0,P:181304.6875
R:85000.0,P:122836.6328125
R:202500.0,P:192158.5625
R:142600.0,P:135937.234375
R:274000.0,P:275818.75
R:170000.0,P:167288.6875
R:105000.0,P:100922.3046875
R:268000.0,P:311606.125
R:267000.0,P:268755.25
R:151000.0,P:153561.421875
R:176000.0,P:170951.109375
R:250580.0,P:242772.765625
R:374000.0,P:371674.4375
R:159500.0,P:144456.890625
R:164000.0,P:142047.046875
R:128500.0,P:118437.0390625
R:205000.0,P:229098.703125
R:328000.0,P:291685.90625
R:119000.0,P:118327.6953125
R:200500.0,P:175826.078125
R:145000.0,P:140495.71875
R:167000.0,P:161753.078125
R:176000.0,P:181781.484375
R:125500.0,P:123838.3828125
R:154300.0,P:154693.078125
R:188700.0,P:153468.9375
R:207000.0,P:196965.15625
R:155000.0,P:167394.828125
R:135500.0,P:129510.1796875
R:55993.0,P:68955.5546875
R:128900.0,P:125372.2109375
R:165000.0,P:166451.21875
R:147000.0,P:142191.5625
R:91300.0,P:93984.5078125
R:131000.0,P:145557.765625
R:142125.0,P:122465.8671875
R:160000.0,P:160637.515625
R:221000.0,P:206108.40625
R:119500.0,P:122594.6328125
R:135000.0,P:132926.296875
R:93000.0,P:81364.3515625
R:185000.0,P:178616.578125
R:127500.0,P:135020.875
R:80000.0,P:75321.6328125
R:90350.0,P:90164.0234375
R:157000.0,P:160232.6875
R:485000.0,P:490902.375
R:165500.0,P:156963.484375
R:150500.0,P:147785.609375
R:166000.0,P:160703.328125
R:101800.0,P:105631.8203125
R:132000.0,P:131410.890625
R:341000.0,P:346508.25
R:132250.0,P:125696.6953125
R:180000.0,P:199497.296875
R:119750.0,P:105439.7890625
R:115000.0,P:103228.2109375
R:178000.0,P:178500.015625
R:106500.0,P:115630.1953125
R:137500.0,P:182812.734375
R:134450.0,P:143762.859375
R:87000.0,P:103246.4921875
R:141000.0,P:135056.265625
R:123500.0,P:122925.6953125
R:125000.0,P:120940.6640625
R:130500.0,P:125841.4296875
R:178900.0,P:178352.09375
R:170000.0,P:180549.953125
R:177000.0,P:171152.828125
R:165150.0,P:166586.828125
R:143000.0,P:145139.875
R:235000.0,P:195446.90625
R:136000.0,P:131252.0
R:110000.0,P:143721.421875
R:119900.0,P:113695.28125
R:132000.0,P:143029.671875
R:140000.0,P:143520.890625
R:142000.0,P:134973.140625
R:135500.0,P:133172.328125
R:451950.0,P:454630.3125
R:235128.0,P:246673.703125
R:165000.0,P:150839.25
R:205000.0,P:192851.53125
R:105000.0,P:120012.375
R:241500.0,P:253202.421875
R:147000.0,P:152652.671875
R:197000.0,P:184173.921875
R:215000.0,P:211079.28125
R:124500.0,P:118892.46875
R:173900.0,P:182272.25
R:155835.0,P:187186.578125
R:207500.0,P:215500.140625
R:250000.0,P:271055.3125
R:121600.0,P:117657.6640625
R:385000.0,P:386320.625
R:107900.0,P:107664.4765625
R:170000.0,P:153674.703125
R:190000.0,P:217857.390625
R:148000.0,P:157379.25
R:155000.0,P:131095.921875
R:115000.0,P:114518.3203125
R:150000.0,P:152291.40625
R:155000.0,P:164100.421875
R:153500.0,P:136579.171875
R:165000.0,P:137171.484375
R:73000.0,P:89882.1796875
R:120000.0,P:123872.890625
R:114500.0,P:129927.6328125
R:130500.0,P:141408.328125
R:158500.0,P:159272.671875
R:175000.0,P:172749.328125
R:148000.0,P:142220.171875
R:315000.0,P:318573.0625
R:289000.0,P:280075.125
R:270000.0,P:270777.25
R:237000.0,P:221831.765625
R:103600.0,P:112327.2265625
R:110000.0,P:100815.4453125
R:159000.0,P:160540.734375
R:139400.0,P:135169.96875
R:160000.0,P:129743.8203125
R:235000.0,P:236219.859375
R:348000.0,P:344134.40625
R:185000.0,P:181809.640625
R:293077.0,P:291856.46875
R:144000.0,P:135182.34375
R:116000.0,P:104318.4296875
R:193000.0,P:202359.8125
R:76000.0,P:93382.03125
R:147000.0,P:272065.75
R:130000.0,P:117343.2578125
R:81000.0,P:84331.2265625
R:154000.0,P:189727.359375
R:155000.0,P:126112.8671875
R:175500.0,P:185141.34375
R:107000.0,P:114396.2890625
R:239799.0,P:255024.140625
R:134000.0,P:148414.015625
R:153000.0,P:146612.828125
R:236500.0,P:242962.3125
R:132500.0,P:125141.2734375
R:167900.0,P:169857.640625
R:266000.0,P:267603.25
R:170000.0,P:134087.21875
R:149900.0,P:155783.609375
R:145500.0,P:143565.765625
R:191000.0,P:191812.984375
R:155000.0,P:157266.265625
R:245350.0,P:247485.3125
R:103000.0,P:118483.1328125
R:88000.0,P:100391.6484375
R:375000.0,P:299131.15625
R:90000.0,P:98183.1640625
R:339750.0,P:319104.375
R:114500.0,P:111238.8515625
R:120000.0,P:117121.1015625
R:386250.0,P:389185.96875
R:92900.0,P:91761.71875
R:256300.0,P:257787.796875
R:151000.0,P:157881.203125
R:126000.0,P:136950.28125
R:194500.0,P:203131.375
R:142000.0,P:153740.296875
R:118500.0,P:104877.6015625
R:265900.0,P:266422.25
R:158000.0,P:145590.828125
R:183900.0,P:184401.875
R:142953.0,P:154725.0
R:97500.0,P:134479.328125
R:215000.0,P:217140.609375
R:152000.0,P:147743.515625
R:280000.0,P:300186.8125
R:214900.0,P:197229.28125
R:87000.0,P:100509.3203125
R:134800.0,P:131747.75
R:185900.0,P:188230.6875
R:134000.0,P:148880.90625
R:195000.0,P:210303.09375
R:184000.0,P:174134.96875
R:84900.0,P:89272.0546875
R:172500.0,P:155332.203125
R:91000.0,P:77526.1640625
R:211000.0,P:212415.90625
R:140000.0,P:150011.140625
R:136900.0,P:173723.703125
R:109008.0,P:110711.2109375
R:217500.0,P:181673.15625
R:220000.0,P:215786.953125
R:144152.0,P:150484.390625
R:271000.0,P:284521.125
R:117000.0,P:111192.3203125
